"","id","coord","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"1","0","X","374.3762989304451","387.03233982852095","392.39130626180247","394.33018169440254","395.3911038820739","395.0606095163445","389.23471313238605","378.60737560785304","376.5888750994647","373.5993044371726","369.7662710446363","363.1780235483865","361.8849530136376","359.3471620515076","359.10208966067427","360.5755841290509","365.6632707086455","377.8796202304535","382.7095567134389","390.4871236046387","393.67143775984556","394.25654777541723","388.79612377977276","381.4311917251081"
"2","0","Y","224.65134291620979","229.72114072208512","230.29972723352978","227.27285463210433","228.05149546840732","228.43581231249237","230.32220018769794","228.24192218148448","227.68911737215217","226.8415549949363","228.61203318218503","228.2086806269417","229.9176215753685","229.51300608019613","228.4996434261924","229.5117889463785","229.53548319855628","229.6424898441307","229.4235747041758","232.37251742773816","230.17718160826325","232.33909086409597","231.51905558030273","229.51394837734523"
"3","1","X","401.89975731089334","416.5484794631571","418.44920234605814","420.95890855696234","421.92188077038026","421.2427321465624","416.55377393577527","406.12062212551774","403.8252755029392","400.4648578190199","397.8594652439883","391.02438586497163","389.49186804698917","385.2980799981725","384.0711891813817","385.68066691794587","391.7185632062469","404.4905265822977","411.58887658667607","418.07214710912274","420.9852671483804","421.6135347005684","415.63554135447123","409.87720095390927"
"4","1","Y","194.30977923595879","199.02432618317778","199.75094200342488","199.22726662767792","199.27678567391854","198.98962656656897","200.56289382845335","198.4788971244708","198.63925086127387","197.91939450983415","196.99109930741156","196.91849171302005","196.76481072200897","197.36807780423823","195.9891791092722","196.6186377690782","195.81393206561052","199.47724253113506","198.47110525209303","199.9019799037286","199.44406548438712","199.13853933471916","199.69191302100586","199.21703814530696"
"5","2","X","345.57734201293704","359.2173679158469","363.0548125447353","364.7515762061403","365.340539289032","364.65671769824405","361.88049703081214","351.7427155195388","347.0096568801017","344.0060463472184","340.20463389495194","333.2840649937561","330.6214759038438","329.02648211919774","328.42521087468015","329.7809361389041","333.4351787604319","347.54090723703246","352.3325858013904","360.0320143076876","362.90781270226074","363.4746731466252","358.51399174443","352.3226607473273"
"6","2","Y","194.19580589725723","197.33049790529248","196.85846101935613","198.14379046999687","197.75474994503264","196.43573813038728","195.89712369744075","197.92453951770563","197.916640640467","198.11217280159218","198.32720230429726","198.66041120265191","200.0499690020526","201.27161349469458","201.66185137356467","201.26194662053217","200.99197774370276","202.04457125003808","200.2671367801421","200.40125328197814","200.31791590342976","200.23914634600482","198.4736311319511","198.95366296898317"
"7","3","X","431.89496075665505","442.2570851346438","444.1067186619571","448.0972343578673","449.4518495674951","445.6842338457907","441.9115708260043","435.28598391289364","430.6548822414108","428.0650433694642","425.80561052288925","418.19129111009266","416.5454631009762","415.18678958885386","415.52621257700184","416.5864515397516","421.9558653357433","433.8922309503685","438.0003216392115","444.3772070217318","447.18701873838785","448.5990278158504","439.7848055655496","434.9614053767094"
"8","3","Y","215.7708094784623","221.43564979002952","220.90194404706153","224.84712359036155","221.99562444556756","222.92996322899535","225.39982726931805","220.48659214964152","218.45138616729201","220.56383121780482","219.64380277295322","215.68964878253303","216.8217444466336","213.69565313090123","212.89155183015043","213.10550860726573","214.82418424669527","221.65352536920915","220.36611389695548","223.44543486775478","221.49375528852374","220.52427347640543","225.49232230084215","220.73712518108283"
"9","4","X","314.65026766236065","327.2591972722877","329.1520795022767","330.9339164153874","331.09722888492934","329.3675782201815","326.71995523612634","316.8092628761574","312.6200423510219","307.59638200726425","306.7908285932931","299.9259484720509","298.75299435145206","297.90338497645206","297.1826039513184","298.6398736310516","302.15452822560684","312.84816749379416","319.01892083894904","327.3272181579709","328.5503573352598","329.0593792355781","322.84972400925545","314.6651986700285"
"10","4","Y","218.2901125158715","219.47964327144808","220.78724985698972","218.81233575980798","215.82468103479454","219.84745070251108","218.99404990510402","217.60576378299942","220.4429134197867","220.71262381927312","218.59111295108903","219.7023798475953","222.12950529875576","223.18292777673076","222.92279814186617","223.33576760096855","223.04714686224565","225.80761171456197","222.70749216656003","224.11626209757247","224.13431178756622","220.80815201846713","223.36435775310673","219.6296631290666"
