"","id","coord","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"1","0","X","394.8149798952813","367.8109449717501","368.6284537808007","378.13177789163865","387.9470004254614","410.2771924113669","411.2530815020407","413.0518523991456","389.0380883170382","381.3859703852187","372.6963339167961","369.1183489526224","374.05158208359984","378.00759700306673","393.64988271255936","413.5112520035712","414.7676089400204","412.93417530914957","381.94472166065117","373.0690326653493","363.9347497296844","362.6252782275105","357.58440712971526","360.7916163096883","368.77652173850964","398.62969210738095"
"2","0","Y","227.41524203711316","219.5558965508236","220.2015006379542","216.0086181521648","217.01119525158379","224.7976904677601","228.86541414911517","235.2821085374025","237.7744571321424","240.51115827950815","238.94657767074614","239.53584526017391","233.88239988806652","233.52029127451874","230.4634013928865","230.74518333866348","234.09201638740404","233.916989451031","229.41100598311095","227.84676713553085","229.90868759898876","227.61782819067525","227.5336597583912","230.2245254962765","231.48167243942646","250.2302268699363"
"3","1","X","424.2583699068363","398.0096414725915","396.0282285218118","405.62453182584824","415.0998225221392","435.51260013096976","440.4700736181545","441.4073555929619","416.83355156673554","412.8867344549525","403.3475834956178","400.500573795906","401.3300052813851","406.9512183949729","420.2120913678442","441.43875850803903","442.8772014298169","440.0917799802784","410.1954891807154","399.6954805623253","394.0031620494106","390.628457469085","384.6997094107882","389.33190120823434","396.2120999044377","426.3010833323815"
"4","1","Y","197.0736557512488","192.4051462511802","191.21214035658807","192.0929758172286","187.51705534044527","193.69045265004416","197.13497585720484","200.9563911542093","204.20646236189157","204.0197292870713","207.9506054259183","207.3516447130467","203.95114742524441","203.06002313862996","197.16329384965502","199.0776655409071","200.1371978551556","198.74467362669708","195.81388596205682","196.61249499107197","197.04810114631874","196.6710714894196","196.84583667658455","196.74604389867352","199.16611857349176","216.73765840586162"
"5","2","X","366.1754877339562","337.20564397919713","337.28482326336535","346.49474205329403","353.90509354440786","376.2901767187881","378.82713057609095","378.4774151926617","358.0324411671064","350.5272265577409","344.0794268453795","340.35694851048044","342.1125924331635","347.74047732585586","360.42817567524156","379.7690880461278","382.3532220494677","378.7048609029015","348.51027579800194","341.6117338362725","333.13498989648053","330.13894540292245","323.79518772891157","325.15906558864066","332.558412310208","364.1581071701198"
"6","2","Y","197.83827114291125","189.75449589957964","188.0305650499132","187.21758926123903","187.83755296852155","196.7781893784075","199.8975476047449","203.75108804386724","204.54168903432623","205.78957362481725","206.1968661005269","205.91265524107575","204.1950679429558","202.46346635428085","199.7300751446283","204.29003085309301","204.70660293311403","205.35940069901312","201.8587557846575","199.9915656894736","198.9282911423354","199.4397687354283","197.36028898064387","200.13672507064848","202.54430521766113","216.88468412581472"
"7","3","X","456.1804618612367","425.8494297198617","425.76582702279785","434.5834832442434","445.27807403029055","468.862705639696","469.76645248442827","470.4382181446454","449.80080647310547","440.2105812533789","433.8864355849476","429.274012991327","429.12479095756424","435.7263097335488","449.83316759849384","472.2351871364065","475.2397090324416","471.6306862635919","440.3398298891896","431.6764691745096","424.8236530147798","419.0871778752139","413.6225727520026","415.58193541409673","425.34569098935486","454.73848190456334"
"8","3","Y","215.98850391529226","219.1696758344624","218.108455665395","218.12297887969436","214.846110204507","217.7817078826488","219.7735948172229","220.09600187602797","222.73559778522093","219.53522704498113","223.8021805969595","225.06355627703152","222.34676903916147","222.67637048316044","216.41737523367067","219.15372222022933","217.90999354907177","220.13083623399046","216.88681619209154","217.50084369503264","219.52610211065638","214.3321629574424","215.51552607069704","215.2763869376675","225.96095213416027","235.54394340886938"
"9","4","X","330.3826963785331","303.9555061444437","304.9872879117553","312.4191462645056","324.36086197345577","345.7617336221141","350.3075226008543","348.94193534033104","328.20939508330287","319.07959235341923","314.1810462163438","307.6359852573328","307.0113439727248","312.13376169781003","325.67267166940786","352.50083402815847","354.97879623204875","351.012442962468","320.4940529687595","307.96889872114093","303.31116436517726","296.57032302945674","288.3350995456034","288.9383279603359","291.5779289260477","323.43948602211634"
"10","4","Y","221.98071604351316","221.96786980879932","224.66773793478922","221.8434734976547","223.08546783863682","225.80772950170564","230.85703353435673","229.28223191646106","226.08942161991348","227.5659768623218","229.71863804272505","224.58058080245644","227.793728417588","226.6140175981131","224.10578201621132","233.47408896998354","228.98448505364428","234.79279724478022","226.96142423455012","226.44090262072825","224.48646114118844","225.53495529799432","222.03022203947364","221.21990464119415","224.1395202993649","234.0162982903493"
